en | Yobouakro is a village in eastern Ivory Coast. It is in the sub-prefecture of Agnibilékrou,
nl | werd gesticht in 1930 op initiatief van Henry De Vos, toen directeur-generaal van het Bestuur
nl | van de Zeevaart. Het was de bedoeling als groep deel te nemen aan de Wereldtentoonstelling
nl | van 1930 in Antwerpen maar de groep bleef achteraf nog 37 jaar lang actief. Stichters
nl | waren de marineschilders Maurice Pauwaert en Louis Royon. Tot de groep behoorden Door Boerewaard, Robert
nl | Buyle, Ghislaine Cambron, Gustave Camus, Julien Creytens, José Crunelle, René Depauw, Frans Depooter, Léon Devos,
nl | Georges Frédéric, Willy Gilbert, Jean Govaerts, Désiré Haine, Jean-Joseph Hoslet, Georgina Iserbyt, Robert Liard, Henri
nl | Logelain, André Lynen, Claude Lyr, Jacques Maes, Mark Macken, Maurice Mareels, Antoon Marstboom, John Michaux,
nl | Geo Mommaerts, Willem Paerels, Alphonse Proost, Jean Ransy, Albert Saverys, Rodolphe Schönberg, Mark Severin, Maurice
nl | Seghers, Roger Somville, Walter Stevens, Rodolphe Strebelle, Jean Timmermans, Ernest Vanhoorde, Désiré Van Raemdonck, Oscar
nl | Verpoorten, Antoine Vriens en Taf Wallet. Ze hielden tentoonstellingen in Brussel, Antwerpen, Luik, Oostende, Namen
nl | en ook eens in Noorwegen. De tentoonstellingen in Brussel gingen aanvankelijk door in het Paleis
nl | voor Schone Kunsten, later in het Kasteel Karreveld. In 1952 waren ze al aan hun
nl | 19de Salon toe. Door onenigheden, ouderdom en sterfgevallen dunde de groep uit. Bij de dood
nl | van Henry De Vos in 1974 werd de groep ontbonden maar hun activiteiten waren reeds
nl | in 1967 gestopt. De resterende leden hielden er in 1989 mee op na een laatste
nl | tentoonstelling in de exporuimte van het gemeentehuis van Schaarbeek. Literatuur Société belge des Peintres de
nl | Clytrovorus zavadili is een vliesvleugelig insect uit de familie van de platkopwespen (Bethylidae). De wetenschappelijke
nl | De Cope-eliminatie is een eliminatiereactie uit de organische chemie. Ze gaat uit van een amineoxide
nl | dat, door te verwarmen, gesplitst wordt in een secundair hydroxylamine en een alkeen. Ze is
nl | genoemd naar de Amerikaanse chemicus Arthur C. Cope. Het reactieschema hieronder toont eerst de vorming
nl | van het amineoxide, die gebeurt door de behandeling van een tertiair amine met een oxidator
nl | zoals waterstofperoxide of een perzuur. De volgende stap is de eigenlijke Cope-eliminatie en verloopt door
nl | het amineoxide te verwarmen tot meer dan ongeveer 100°C. Het hydroxylamine draagt nog twee van
nl | de drie organische groepen van het amineoxide; de derde groep is afgesplitst: De Cope-eliminatie gelijkt
nl | op de Hofmann-eliminatie; in deze laatste is de tussenvorm een quaternair ammoniumzout. Een voorbeeld van
nl | de Cope-eliminatie is de vorming van methyleencyclohexaan uitgaande van N,N-dimethylcyclohexylmethylamine: De Cope-eliminatie moet niet verward
